HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,Group,Passenger,Total_Billed,Cabin_Deck,Cabin_Number,Cabin_Side
Earth,False,TRAPPIST-1e,22.0,False,45.0,1096.0,148.0,1377.0,1.0,False,61,1,2667.0,F,12,S
Earth,False,TRAPPIST-1e,62.0,False,0.0,592.0,0.0,17.0,25.0,False,62,1,634.0,F,13,S
Mars,True,TRAPPIST-1e,15.0,False,0.0,0.0,0.0,0.0,0.0,True,64,1,0.0,F,14,S
Mars,True,TRAPPIST-1e,33.0,False,0.0,0.0,0.0,0.0,0.0,True,64,2,0.0,E,3,S
Earth,False,TRAPPIST-1e,62.0,False,1.0,153.0,197.0,0.0,460.0,False,66,1,811.0,G,6,P
Earth,True,PSO J318.5-22,0.0,False,0.0,0.0,0.0,0.0,0.0,True,67,1,0.0,G,10,S
Earth,False,TRAPPIST-1e,18.0,False,1.0,258.0,446.0,0.0,0.0,True,67,2,705.0,G,10,S
Earth,False,55 Cancri e,21.0,False,1946.0,37.0,0.0,0.0,24.0,False,67,3,2007.0,F,15,S
Mars,False,TRAPPIST-1e,20.0,False,793.0,0.0,2.0,253.0,0.0,False,68,1,1048.0,E,4,S
Earth,False,TRAPPIST-1e,42.0,False,887.0,0.0,9.0,6.0,0.0,True,69,1,902.0,F,16,S
Earth,False,TRAPPIST-1e,19.0,False,190.0,0.0,5.0,1.0,726.0,False,70,1,922.0,F,13,P
Earth,False,TRAPPIST-1e,17.0,False,16.0,2165.0,0.0,0.0,52.0,False,71,1,2233.0,F,14,P
Earth,False,TRAPPIST-1e,14.0,False,0.0,1.0,0.0,0.0,1063.0,False,72,1,1064.0,F,17,S
Mars,False,PSO J318.5-22,37.0,False,46.0,83.0,738.0,0.0,12.0,False,73,1,879.0,D,3,P
Europa,False,TRAPPIST-1e,42.0,False,1.0,8397.0,0.0,0.0,506.0,True,74,1,8904.0,C,3,S
Mars,False,TRAPPIST-1e,27.0,False,147.0,0.0,1018.0,0.0,0.0,True,76,1,1165.0,F,18,S
Mars,False,TRAPPIST-1e,28.0,False,14.0,0.0,1295.0,0.0,0.0,True,77,1,1309.0,F,15,P
Europa,False,TRAPPIST-1e,38.0,False,0.0,5840.0,0.0,321.0,9654.0,False,78,1,15815.0,C,4,S
Earth,True,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,False,81,1,0.0,G,13,S
Mars,False,TRAPPIST-1e,42.0,False,7406.0,0.0,0.0,0.0,0.0,False,82,1,7406.0,F,16,P
Mars,True,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,True,82,2,0.0,F,16,P
Mars,False,TRAPPIST-1e,8.0,False,0.0,0.0,0.0,0.0,0.0,True,82,3,0.0,F,16,P
Earth,False,TRAPPIST-1e,24.0,False,688.0,0.0,0.0,0.0,17.0,True,84,1,705.0,G,14,S
Europa,True,TRAPPIST-1e,40.0,False,0.0,0.0,0.0,0.0,0.0,True,85,1,0.0,C,5,S
Earth,False,TRAPPIST-1e,43.0,False,211.0,0.0,0.0,638.0,513.0,False,86,1,1362.0,F,17,P
Mars,True,PSO J318.5-22,45.0,False,0.0,0.0,0.0,0.0,0.0,True,88,1,0.0,E,5,S
Earth,True,TRAPPIST-1e,35.0,False,0.0,0.0,0.0,0.0,0.0,True,90,1,0.0,G,15,S
Earth,True,TRAPPIST-1e,26.0,False,0.0,0.0,0.0,0.0,0.0,True,91,1,0.0,G,16,S
Earth,False,TRAPPIST-1e,27.0,False,1.0,697.0,31.0,188.0,0.0,False,91,2,917.0,F,20,S
Earth,False,TRAPPIST-1e,19.0,False,0.0,0.0,670.0,1.0,34.0,False,92,1,705.0,G,9,P
Earth,True,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,True,92,2,0.0,G,9,P
Earth,True,TRAPPIST-1e,3.0,False,0.0,0.0,0.0,0.0,0.0,True,92,3,0.0,G,9,P
Europa,False,TRAPPIST-1e,54.0,False,0.0,1208.0,0.0,3.0,637.0,False,97,1,1848.0,A,2,S
Earth,False,TRAPPIST-1e,26.0,False,0.0,856.0,5.0,32.0,0.0,False,98,1,893.0,G,11,P
Earth,False,TRAPPIST-1e,26.0,False,0.0,2811.0,957.0,0.0,87.0,True,98,2,3855.0,G,11,P
Earth,False,PSO J318.5-22,23.0,False,311.0,427.0,526.0,37.0,0.0,False,99,1,1301.0,F,19,P
Earth,False,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,True,99,2,0.0,G,12,P
Earth,False,TRAPPIST-1e,18.0,False,0.0,0.0,0.0,830.0,91.0,False,102,1,921.0,F,23,S
Earth,False,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,0.0,17.0,True,103,1,17.0,F,24,S
Earth,True,55 Cancri e,9.0,False,0.0,0.0,0.0,0.0,0.0,True,103,2,0.0,G,18,S
Earth,True,TRAPPIST-1e,6.0,False,0.0,0.0,0.0,0.0,0.0,False,103,3,0.0,G,18,S
Earth,False,TRAPPIST-1e,27.0,False,0.0,0.0,570.0,2.0,131.0,False,105,1,703.0,F,21,P
Mars,False,TRAPPIST-1e,21.0,False,1743.0,5.0,17.0,0.0,0.0,False,107,1,1765.0,D,2,S
Earth,True,TRAPPIST-1e,23.0,False,0.0,0.0,0.0,0.0,0.0,False,108,1,0.0,G,19,S
Earth,False,TRAPPIST-1e,31.0,False,562.0,0.0,326.0,0.0,0.0,False,108,2,888.0,G,19,S
Earth,False,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,True,108,3,0.0,G,19,S
Europa,False,TRAPPIST-1e,32.0,False,0.0,410.0,6.0,3929.0,764.0,False,110,1,5109.0,B,5,P
Europa,False,TRAPPIST-1e,40.0,False,0.0,331.0,0.0,0.0,1687.0,False,110,2,2018.0,B,5,P
Europa,False,TRAPPIST-1e,42.0,False,2209.0,11418.0,0.0,1868.0,445.0,True,110,3,15940.0,B,5,P
Europa,True,TRAPPIST-1e,28.0,False,0.0,0.0,0.0,0.0,0.0,True,110,4,0.0,B,5,P
Europa,True,TRAPPIST-1e,29.0,False,0.0,0.0,0.0,0.0,0.0,True,111,1,0.0,E,6,S
Europa,True,55 Cancri e,48.0,True,0.0,2537.0,87.0,17.0,13.0,True,112,1,2654.0,B,1,S
Earth,False,TRAPPIST-1e,64.0,False,0.0,0.0,804.0,0.0,0.0,True,113,1,804.0,F,23,P
Earth,False,TRAPPIST-1e,27.0,False,82.0,157.0,429.0,238.0,1.0,False,114,1,907.0,G,20,S
Mars,True,TRAPPIST-1e,26.0,False,0.0,0.0,0.0,0.0,0.0,True,115,1,0.0,F,24,P
Europa,False,TRAPPIST-1e,33.0,False,1.0,2223.0,0.0,12.0,404.0,True,116,1,2640.0,D,4,P
Europa,False,TRAPPIST-1e,39.0,False,0.0,2344.0,0.0,65.0,6898.0,False,119,1,9307.0,A,0,P
Europa,True,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,True,119,2,0.0,A,0,P
Mars,True,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,0.0,0.0,True,120,1,0.0,F,25,P
Earth,False,TRAPPIST-1e,29.0,False,0.0,0.0,0.0,699.0,74.0,False,122,1,773.0,G,21,S
Earth,False,TRAPPIST-1e,18.0,False,55.0,597.0,49.0,0.0,1.0,False,123,1,702.0,F,27,P
Mars,True,TRAPPIST-1e,67.0,False,0.0,0.0,0.0,0.0,0.0,True,126,1,0.0,F,27,S
Mars,False,TRAPPIST-1e,35.0,False,701.0,0.0,296.0,0.0,25.0,False,127,1,1022.0,E,7,S
Mars,False,TRAPPIST-1e,61.0,True,2353.0,334.0,9.0,316.0,2.0,False,128,1,3014.0,D,3,S
Mars,False,TRAPPIST-1e,45.0,False,2103.0,6.0,0.0,0.0,0.0,False,128,2,2109.0,E,8,S
Earth,True,PSO J318.5-22,22.0,False,0.0,0.0,0.0,0.0,0.0,True,129,1,0.0,G,22,S
Mars,True,TRAPPIST-1e,19.0,False,0.0,0.0,0.0,0.0,0.0,True,133,1,0.0,F,29,S
Mars,False,TRAPPIST-1e,36.0,False,2738.0,0.0,0.0,0.0,0.0,False,133,2,2738.0,D,5,S
Earth,False,TRAPPIST-1e,19.0,False,0.0,14.0,730.0,0.0,0.0,True,134,1,744.0,G,17,P
Earth,False,PSO J318.5-22,47.0,False,97.0,418.0,126.0,25.0,55.0,False,136,1,721.0,G,23,S
Earth,True,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,True,138,1,0.0,G,18,P
Earth,False,TRAPPIST-1e,34.0,False,0.0,22.0,0.0,564.0,207.0,False,138,2,793.0,E,5,P
Europa,True,55 Cancri e,35.0,False,0.0,0.0,0.0,0.0,0.0,True,139,1,0.0,C,6,S
Earth,True,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,0.0,0.0,True,140,1,0.0,G,19,P
Earth,False,TRAPPIST-1e,26.0,False,440.0,0.0,0.0,0.0,462.0,False,140,2,902.0,F,29,P
Mars,False,TRAPPIST-1e,31.0,False,0.0,0.0,97.0,0.0,0.0,False,141,1,97.0,F,30,P
Earth,False,TRAPPIST-1e,20.0,False,0.0,420.0,210.0,0.0,0.0,True,144,1,630.0,F,31,S
Earth,False,TRAPPIST-1e,56.0,False,0.0,0.0,0.0,0.0,0.0,False,146,1,0.0,G,25,S
Earth,True,TRAPPIST-1e,50.0,False,0.0,0.0,0.0,0.0,0.0,True,147,1,0.0,G,26,S
Mars,False,TRAPPIST-1e,42.0,False,1072.0,0.0,10.0,0.0,76.0,False,148,1,1158.0,F,31,P
Earth,True,55 Cancri e,50.0,False,0.0,0.0,0.0,0.0,0.0,True,149,1,0.0,G,27,S
Earth,True,55 Cancri e,38.0,False,0.0,0.0,0.0,0.0,0.0,False,151,1,0.0,G,20,P
Earth,False,0,41.0,False,0.0,0.0,0.0,0.0,607.0,False,152,1,607.0,F,32,P
Earth,False,TRAPPIST-1e,22.0,False,4119.0,0.0,0.0,0.0,61.0,False,160,1,4180.0,G,22,P
Europa,True,TRAPPIST-1e,26.0,False,0.0,0.0,0.0,0.0,0.0,True,163,1,0.0,B,8,P
Europa,True,TRAPPIST-1e,17.0,False,0.0,0.0,0.0,0.0,0.0,True,163,2,0.0,B,8,P
Earth,False,TRAPPIST-1e,57.0,False,50.0,1688.0,0.0,0.0,135.0,True,164,1,1873.0,G,28,S
Earth,True,PSO J318.5-22,17.0,False,0.0,0.0,0.0,0.0,0.0,False,164,2,0.0,G,28,S
Mars,True,TRAPPIST-1e,35.0,False,0.0,0.0,0.0,0.0,0.0,True,165,1,0.0,F,37,P
Mars,True,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,True,167,1,0.0,F,35,S
Mars,False,TRAPPIST-1e,27.0,False,1365.0,0.0,48.0,22.0,137.0,False,167,2,1572.0,F,35,S
Earth,True,TRAPPIST-1e,31.0,False,0.0,0.0,0.0,0.0,0.0,False,169,1,0.0,G,23,P
Earth,False,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,221.0,567.0,False,170,1,788.0,E,10,S
Earth,True,PSO J318.5-22,19.0,False,0.0,0.0,0.0,0.0,0.0,True,171,1,0.0,G,30,S
Earth,True,TRAPPIST-1e,32.0,False,0.0,0.0,0.0,0.0,0.0,True,172,1,0.0,G,24,P
Earth,False,TRAPPIST-1e,58.0,False,0.0,985.0,0.0,5.0,0.0,True,173,1,990.0,E,11,S
Earth,False,55 Cancri e,21.0,False,287.0,0.0,16.0,115.0,175.0,False,174,1,593.0,F,38,P
Europa,False,TRAPPIST-1e,38.0,False,0.0,10346.0,1.0,14970.0,2111.0,False,177,1,27428.0,B,2,S
Mars,False,TRAPPIST-1e,38.0,False,3414.0,0.0,161.0,28.0,119.0,False,178,1,3722.0,D,6,S
Earth,False,TRAPPIST-1e,19.0,False,1.0,219.0,673.0,2.0,11.0,True,179,1,906.0,G,26,P
Earth,False,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,False,179,2,0.0,G,26,P
Earth,False,TRAPPIST-1e,3.0,False,0.0,0.0,0.0,0.0,0.0,True,179,3,0.0,G,26,P
Earth,False,TRAPPIST-1e,20.0,False,0.0,0.0,3.0,299.0,92.0,False,181,1,394.0,G,27,P
Europa,True,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,0.0,0.0,True,182,1,0.0,C,3,P
Earth,False,TRAPPIST-1e,37.0,False,17.0,146.0,426.0,0.0,232.0,True,183,1,821.0,F,36,S
Earth,False,TRAPPIST-1e,25.0,False,62.0,0.0,0.0,0.0,956.0,False,186,1,1018.0,G,28,P
Earth,True,TRAPPIST-1e,56.0,False,0.0,0.0,0.0,0.0,0.0,True,188,1,0.0,G,31,S
Earth,False,55 Cancri e,49.0,False,84.0,3.0,401.0,202.0,98.0,False,189,1,788.0,E,8,P
Earth,True,55 Cancri e,11.0,False,0.0,0.0,0.0,0.0,0.0,False,190,1,0.0,G,32,S
Earth,True,TRAPPIST-1e,1.0,False,0.0,0.0,0.0,0.0,0.0,True,192,1,0.0,G,29,P
Earth,False,TRAPPIST-1e,8.0,False,0.0,0.0,0.0,0.0,0.0,False,192,2,0.0,G,29,P
Earth,False,TRAPPIST-1e,39.0,False,0.0,0.0,10.0,898.0,0.0,False,192,3,908.0,G,29,P
Mars,True,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,True,193,1,0.0,F,41,P
Mars,False,TRAPPIST-1e,23.0,False,0.0,0.0,8.0,1072.0,0.0,False,193,2,1080.0,F,41,P
Mars,False,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,True,193,3,0.0,F,41,P
Mars,False,TRAPPIST-1e,39.0,False,406.0,0.0,867.0,0.0,0.0,True,195,1,1273.0,F,42,P
Mars,False,PSO J318.5-22,25.0,False,1052.0,0.0,719.0,0.0,7.0,False,196,1,1778.0,D,5,P
Europa,False,TRAPPIST-1e,36.0,False,0.0,972.0,0.0,795.0,575.0,False,197,1,2342.0,C,5,P
Earth,True,PSO J318.5-22,52.0,False,0.0,0.0,0.0,0.0,0.0,True,198,1,0.0,G,30,P
Earth,True,TRAPPIST-1e,18.0,False,0.0,0.0,0.0,0.0,0.0,False,199,1,0.0,G,33,S
Earth,True,TRAPPIST-1e,15.0,False,0.0,0.0,0.0,0.0,0.0,True,200,1,0.0,G,31,P
Europa,True,TRAPPIST-1e,35.0,False,0.0,0.0,0.0,0.0,0.0,True,201,1,0.0,B,3,S
Europa,True,TRAPPIST-1e,47.0,False,0.0,0.0,0.0,0.0,0.0,True,201,2,0.0,B,3,S
Europa,True,55 Cancri e,45.0,False,0.0,0.0,0.0,0.0,0.0,True,202,1,0.0,B,9,P
Europa,False,55 Cancri e,50.0,False,0.0,2433.0,0.0,878.0,443.0,True,202,2,3754.0,A,2,P
Europa,True,TRAPPIST-1e,51.0,False,0.0,0.0,0.0,0.0,0.0,True,203,1,0.0,C,8,S
Earth,False,TRAPPIST-1e,29.0,False,0.0,2.0,66.0,0.0,705.0,False,205,1,773.0,G,34,S
Europa,False,55 Cancri e,40.0,False,2.0,1720.0,12.0,1125.0,122.0,True,206,1,2981.0,C,9,S
Earth,True,PSO J318.5-22,19.0,False,0.0,0.0,0.0,0.0,0.0,False,207,1,0.0,G,32,P
0,True,55 Cancri e,24.0,False,0.0,0.0,0.0,0.0,0.0,True,210,1,0.0,D,6,P
Mars,False,TRAPPIST-1e,29.0,False,902.0,1.0,137.0,0.0,0.0,True,211,1,1040.0,F,44,P
Mars,True,TRAPPIST-1e,11.0,False,0.0,0.0,0.0,0.0,0.0,True,211,2,0.0,F,44,P
Mars,False,TRAPPIST-1e,17.0,False,848.0,0.0,307.0,182.0,0.0,False,211,3,1337.0,F,44,P
Earth,False,TRAPPIST-1e,13.0,False,192.0,0.0,0.0,51.0,739.0,False,212,1,982.0,E,9,P
Earth,False,TRAPPIST-1e,35.0,False,147.0,188.0,0.0,10.0,387.0,False,212,2,732.0,F,45,P
Earth,False,TRAPPIST-1e,21.0,False,367.0,281.0,0.0,0.0,146.0,False,213,1,794.0,F,46,P
Earth,False,55 Cancri e,21.0,False,0.0,56.0,0.0,0.0,1918.0,False,216,1,1974.0,F,40,S
Earth,False,TRAPPIST-1e,38.0,False,1517.0,0.0,0.0,27.0,0.0,False,217,1,1544.0,F,47,P
Earth,True,TRAPPIST-1e,19.0,False,0.0,0.0,0.0,0.0,0.0,True,219,1,0.0,G,36,P
Earth,True,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,True,220,1,0.0,G,37,P
Earth,False,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,True,220,2,0.0,G,37,P
Earth,True,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,False,220,3,0.0,G,37,P
Earth,False,TRAPPIST-1e,25.0,False,122.0,84.0,0.0,0.0,0.0,False,220,4,206.0,E,10,P
Earth,False,TRAPPIST-1e,16.0,False,0.0,3.0,0.0,0.0,1099.0,False,220,5,1102.0,F,48,P
Earth,False,55 Cancri e,1.0,False,0.0,0.0,0.0,0.0,0.0,False,220,6,0.0,G,37,P
Earth,True,TRAPPIST-1e,15.0,False,0.0,0.0,0.0,0.0,0.0,True,220,7,0.0,G,37,P
Mars,False,55 Cancri e,21.0,False,2237.0,0.0,119.0,0.0,0.0,False,221,1,2356.0,E,13,S
Mars,False,TRAPPIST-1e,23.0,False,1215.0,80.0,1.0,2.0,0.0,False,221,2,1298.0,E,13,S
Mars,False,TRAPPIST-1e,33.0,False,1933.0,12.0,188.0,1.0,0.0,False,221,3,2134.0,E,13,S
Mars,True,TRAPPIST-1e,21.0,False,0.0,0.0,0.0,0.0,0.0,True,221,4,0.0,E,13,S
Mars,False,TRAPPIST-1e,41.0,False,1230.0,0.0,301.0,43.0,1023.0,False,221,5,2597.0,E,13,S
Mars,False,TRAPPIST-1e,16.0,False,915.0,0.0,221.0,234.0,0.0,False,221,6,1370.0,E,13,S
Mars,True,TRAPPIST-1e,42.0,False,0.0,0.0,0.0,0.0,0.0,False,221,7,0.0,E,13,S
Mars,False,TRAPPIST-1e,20.0,False,1406.0,0.0,0.0,11.0,0.0,False,222,1,1417.0,F,41,S
Mars,True,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,0.0,0.0,True,222,2,0.0,F,41,S
Mars,True,TRAPPIST-1e,16.0,False,0.0,0.0,0.0,0.0,0.0,True,222,3,0.0,E,14,S
Earth,False,TRAPPIST-1e,21.0,False,0.0,2.0,665.0,0.0,9.0,False,223,1,676.0,G,35,S
Mars,False,TRAPPIST-1e,32.0,True,181.0,0.0,5.0,1634.0,0.0,False,224,1,1820.0,F,42,S
Earth,True,PSO J318.5-22,58.0,False,0.0,0.0,0.0,0.0,0.0,True,225,1,0.0,G,38,P
Earth,False,TRAPPIST-1e,24.0,False,4.0,7.0,0.0,713.0,79.0,False,229,1,803.0,F,43,S
Mars,False,TRAPPIST-1e,30.0,False,85.0,0.0,1.0,1720.0,0.0,False,231,1,1806.0,F,44,S
Earth,True,PSO J318.5-22,27.0,False,0.0,0.0,0.0,0.0,0.0,False,232,1,0.0,G,36,S
Mars,False,TRAPPIST-1e,32.0,False,56.0,0.0,256.0,1438.0,0.0,False,233,1,1750.0,F,45,S
Earth,False,TRAPPIST-1e,43.0,False,0.0,888.0,0.0,0.0,0.0,False,234,1,888.0,F,50,P
Europa,True,TRAPPIST-1e,42.0,False,0.0,0.0,0.0,0.0,0.0,True,237,1,0.0,B,11,P
Mars,True,TRAPPIST-1e,35.0,False,0.0,0.0,0.0,0.0,0.0,True,240,1,0.0,F,52,P
Europa,False,55 Cancri e,33.0,False,0.0,1249.0,0.0,4812.0,1116.0,False,241,1,7177.0,E,11,P
0,False,TRAPPIST-1e,18.0,False,313.0,1.0,691.0,283.0,0.0,False,242,1,1288.0,F,46,S
Earth,True,TRAPPIST-1e,21.0,False,0.0,0.0,0.0,0.0,0.0,False,243,1,0.0,G,37,S
Mars,True,TRAPPIST-1e,43.0,False,0.0,0.0,0.0,0.0,0.0,True,244,1,0.0,F,47,S
Mars,True,55 Cancri e,14.0,False,0.0,0.0,0.0,0.0,0.0,True,244,2,0.0,F,47,S
Europa,False,55 Cancri e,46.0,False,0.0,3571.0,0.0,0.0,7.0,True,245,1,3578.0,C,6,P
Europa,False,TRAPPIST-1e,33.0,False,0.0,86.0,796.0,584.0,10912.0,False,245,2,12378.0,C,6,P
Mars,False,TRAPPIST-1e,21.0,False,2947.0,0.0,287.0,27.0,0.0,False,246,1,3261.0,D,8,P
Europa,False,TRAPPIST-1e,33.0,False,0.0,1.0,0.0,8620.0,1063.0,False,248,1,9684.0,C,10,S
Earth,True,PSO J318.5-22,47.0,False,0.0,0.0,0.0,0.0,0.0,False,250,1,0.0,G,38,S
0,True,55 Cancri e,54.0,False,0.0,0.0,0.0,0.0,0.0,True,251,1,0.0,C,11,S
Earth,False,TRAPPIST-1e,30.0,False,335.0,695.0,541.0,0.0,0.0,False,252,1,1571.0,F,53,P
